Name,SMILES,PubChemID,CPE CLASS,IUPAC NAME,CAS,CAS (cactus),logKp,Reference,Total Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Polar Surface Area,Rotatable Bonds,Aromatic Rings,sp3-Atoms,Drug status,DRUGBANK,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8 (SCAFFOLD name),Scaffold SMILES
n‐octanol,CCCCCCCCO,957,ALCOHOL,octan-1-ol,111-87-5,"220713-26-8,67700-96-3,111-87-5,68603-15-6",-1.09,"Cross, S.E., Magnusson, B.M. Winckle, G., Anissimov, Y. and Roberts, M.S. (2003): Determination of the effect of lipophilicity on the in vitro permeability and tissue reservoir characteristics of topically applied solutes in human skin layers. J. Invest. Dermatol, 120, 759‐764",130.23,2.7769,-2.097,1,1,20.23,6,0,9,approved; investigational,DB00632,,,,,,,,,
Decanol,CCCCCCCCCCO,8174,ALCOHOL,decan-1-ol,112-30-1,"85566-12-7,66455-17-2,112-30-1,70084-71-8,118374-94-0,36729-58-5",-1.0,"Cross, S.E., Magnusson, B.M. Winckle, G., Anissimov, Y. and Roberts, M.S. (2003): Determination of the effect of lipophilicity on the in vitro permeability and tissue reservoir characteristics of topically applied solutes in human skin layers. J. Invest. Dermatol, 120, 759‐764",158.284,3.6857,-2.637,1,1,20.23,8,0,11,approved; investigational,DB00632,,,,,,,,,
1-Undecanol,CCCCCCCCCCCO,8184,ALCOHOL,undecan-1-ol,112-42-5,112-42-5,,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",172.31099999999998,4.1401,-2.907,1,1,20.23,9,0,12,approved; investigational,DB00632,,,,,,,,,
Lauryl alcohol,CCCCCCCCCCCCO,8193,ALCOHOL,dodecan-1-ol,112-53-8,"8032-08-4,8032-09-5,8032-10-8,112-53-8,68551-07-5,1322-35-6,68855-55-0,8014-32-2",,"Kanikkannan, N., & Babu, R. J. (2015). Structure-activity relationship of chemical penetration enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 39-54). Springer, Berlin, Heidelberg.",186.33700000000002,4.5945,-3.177,1,1,20.23,10,0,13,approved; investigational,DB00632,,,,,,,,,
Myristyl alcohol,CCCCCCCCCCCCCCO,8209,ALCOHOL,tetradecan-1-ol,112-72-1,"63393-82-8,150138-88-8,8032-14-2,126339-59-1,126339-60-4,67762-41-8,52439-75-5,60650-34-2,68002-95-9,67762-30-5,67762-42-9,75782-87-5,68333-80-2,71750-71-5,112-72-1,179607-28-4,68855-56-1",,"Kanikkannan, N., & Babu, R. J. (2015). Structure-activity relationship of chemical penetration enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 39-54). Springer, Berlin, Heidelberg.",214.391,5.5033,-3.717,1,1,20.23,12,0,15,approved; investigational,DB00632,,,,,,,,,
1-Octadecanol,CCCCCCCCCCCCCCCCCCO,8221,ALCOHOL,octadecan-1-ol,112-92-5,"68911-61-5,112-92-5,193766-48-2,8014-37-7,8032-19-7,8032-21-1,8034-90-0",,"Babu, R. J., Chen, L., & Kanikkannan, N. (2015). Fatty alcohols, fatty acids, and fatty acid esters as penetration enhancers. In Percutaneous penetration enhancers chemical methods in penetration enhancement (pp. 133-150). Springer, Berlin, Heidelberg.",270.499,7.3209,-4.797,1,1,20.23,16,0,19,approved; investigational,DB00632,,,,,,,,,
2-Octanol,CCCCCCC(C)O,20083,ALCOHOL,octan-2-ol,123-96-6,"123-96-6,25339-16-6,4128-31-8,113301-48-7,6169-06-8,113244-40-9",,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",130.23,2.6818,-2.205,1,1,20.23,5,0,9,,,,,,,,,,,
n‐nonanol,CCCCCCCCCO,8914,ALCOHOL,nonan-1-ol,143-08-8,"143-08-8,28473-21-4",-0.98,"R. J. Scheuplein and I. H. Blank, ""Permeability of Skin,"" Physiol. Rev. 51, 702‐747 (1971)",144.257,3.2313,-2.367,1,1,20.23,7,0,10,approved; investigational,DB00632,,,,,,,,,
Oleyl alcohol,CCCCCCCCC=CCCCCCCCCO,5284499,ALCOHOL,octadec-9-en-1-ol,143-28-2,NA,,"Kanikkannan, N., & Babu, R. J. (2015). Structure-activity relationship of chemical penetration enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 39-54). Springer, Berlin, Heidelberg.",268.483,7.0687,-4.569,1,1,20.23,15,0,17,,,,,,,,,,,
cis-3-Octen-1-ol,CCCCC=CCCO,5364519,ALCOHOL,oct-3-en-1-ol,20125-84-2,NA,,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",128.214,2.5247,-1.869,1,1,20.23,5,0,7,,,,,,,,,,,
14-Methyl-1-pentadecanol,CC(C)CCCCCCCCCCCCCO,5283265,ALCOHOL,14-methylpentadecan-1-ol,20194-48-3,NA,,"Babu, R. J., Chen, L., & Kanikkannan, N. (2015). Fatty alcohols, fatty acids, and fatty acid esters as penetration enhancers. In Percutaneous penetration enhancers chemical methods in penetration enhancement (pp. 133-150). Springer, Berlin, Heidelberg.",242.445,6.176,-4.147,1,1,20.23,13,0,17,,,,,,,,,,,
Isostearyl alcohol,CC(C)CCCCCCCCCCCCCCCO,62825,ALCOHOL,16-methylheptadecan-1-ol,27458-93-1,"120528-41-8,179607-17-1,27458-93-1,59231-38-8,41744-75-6",,"Babu, R. J., Chen, L., & Kanikkannan, N. (2015). Fatty alcohols, fatty acids, and fatty acid esters as penetration enhancers. In Percutaneous penetration enhancers chemical methods in penetration enhancement (pp. 133-150). Springer, Berlin, Heidelberg.",270.499,7.0848,-4.687,1,1,20.23,15,0,19,,,,,,,,,,,
Cetyl alcohol,CCCCCCCCCCCCCCCCO,2682,ALCOHOL,hexadecan-1-ol,36311-34-9,"36311-34-9,124-29-8,55069-45-9,8014-51-5,8023-37-8,8032-16-4,8032-17-5,8032-89-1,36653-82-4",,"Kanikkannan, N., & Babu, R. J. (2015). Structure-activity relationship of chemical penetration enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 39-54). Springer, Berlin, Heidelberg.",242.445,6.4121,-4.257,1,1,20.23,14,0,17,approved; investigational,DB00632,,,,,,,,,
Linoleyl alcohol,CCCCCC=CCC=CCCCCCCCCO,5365682,ALCOHOL,"octadeca-9,12-dien-1-ol",506-43-4,NA,,"Kanikkannan, N., & Babu, R. J. (2015). Structure-activity relationship of chemical penetration enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 39-54). Springer, Berlin, Heidelberg.",266.467,6.8165,-4.341,1,1,20.23,14,0,15,,,,,,,,,,,
Linolenyl alcohol,CCC=CCC=CCC=CCCCCCCCCO,6436081,ALCOHOL,"octadeca-9,12,15-trien-1-ol",506-44-5,NA,,"Kanikkannan, N., & Babu, R. J. (2015). Structure-activity relationship of chemical penetration enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 39-54). Springer, Berlin, Heidelberg.",264.45099999999996,6.5643,-4.113,1,1,20.23,13,0,13,,,,,,,,,,,
Heptanol,CCCCCCCO,8129,ALCOHOL,heptan-1-ol,53535-33-4,"53535-33-4,111-70-6",-1.49,"Chen, C. P., Chen, C. C., Huang, C. W., & Chang, Y. C. (2018). Evaluating molecular properties involved in transport of small molecules in stratum corneum: a quantitative structure-activity relationship for skin permeability. Molecules, 23(4), 911.",116.20299999999999,2.3225,-1.827,1,1,20.23,5,0,8,approved; investigational,DB00632,,,,,,,,,
2-Heptanol,CCCCCC(C)O,10976,ALCOHOL,heptan-2-ol,543-49-7,"6033-24-5,6033-23-4,52390-72-4,543-49-7",,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",116.20299999999999,2.2274,-1.935,1,1,20.23,4,0,8,,,,,,,,,,,
trans-3-Hexen-1-ol,CCC=CCCO,5284503,ALCOHOL,hex-3-en-1-ol,544-12-7,NA,,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",100.16,1.6159,-1.329,1,1,20.23,3,0,5,,,,,,,,,,,
4-Heptanol,CCCC(CCC)O,11513,ALCOHOL,heptan-4-ol,589-55-9,589-55-9,,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",116.20299999999999,2.2274,-1.935,1,1,20.23,4,0,8,,,,,,,,,,,
4-Octanol,CCCCC(CCC)O,11515,ALCOHOL,octan-4-ol,589-62-8,589-62-8,,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",130.23,2.6818,-2.205,1,1,20.23,5,0,9,,,,,,,,,,,
3-Heptanol,CCCCC(CC)O,11520,ALCOHOL,heptan-3-ol,589-82-2,"40617-58-1,589-82-2",,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",116.20299999999999,2.2274,-1.935,1,1,20.23,4,0,8,,,,,,,,,,,
3-Octanol,CCCCCC(CC)O,11527,ALCOHOL,octan-3-ol,589-98-0,"29063-28-3,20296-29-1,589-98-0",,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",130.23,2.6818,-2.205,1,1,20.23,5,0,9,,,,,,,,,,,
4-Nonanol,CCCCCC(CCC)O,22217,ALCOHOL,nonan-4-ol,5932-79-6,"52708-03-9,5932-79-6,74742-09-9",,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",144.257,3.1362,-2.475,1,1,20.23,6,0,10,,,,,,,,,,,
3-Hexanol,CCCC(CC)O,12178,ALCOHOL,hexan-3-ol,623-37-0,"623-37-0,17015-11-1",,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",102.176,1.7730000000000001,-1.665,1,1,20.23,3,0,7,,,,,,,,,,,
5-Nonanol,CCCCC(CCCC)O,12202,ALCOHOL,nonan-5-ol,623-93-8,623-93-8,,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",144.257,3.1362,-2.475,1,1,20.23,6,0,10,,,,,,,,,,,
3-Nonanol,CCCCCCC(CC)O,12216,ALCOHOL,nonan-3-ol,624-51-1,"74742-08-8,624-51-1",,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",144.257,3.1362,-2.475,1,1,20.23,6,0,10,,,,,,,,,,,
2-Hexanol,CCCCC(C)O,12297,ALCOHOL,hexan-2-ol,626-93-7,"626-93-7,20281-86-1,37769-60-1,69203-06-1,26549-24-6,54972-97-3,52019-78-0",,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",102.176,1.7730000000000001,-1.665,1,1,20.23,3,0,7,,,,,,,,,,,
2-Nonanol,CCCCCCCC(C)O,12367,ALCOHOL,nonan-2-ol,628-99-9,"74683-66-2,628-99-9",,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",144.257,3.1362,-2.475,1,1,20.23,6,0,10,,,,,,,,,,,
Ethanol,CCO,702,ALCOHOL,ethanol,64-17-5,"121182-78-3,64-17-5,8024-45-1,8000-16-6,68475-56-9,71076-86-3,71329-38-9",-3.08,"Cross, S.E., Magnusson, B.M. Winckle, G., Anissimov, Y. and Roberts, M.S. (2003): Determination of the effect of lipophilicity on the in vitro permeability and tissue reservoir characteristics of topically applied solutes in human skin layers. J. Invest. Dermatol, 120, 759‐764",46.0686,0.0505,-0.47700000000000004,1,1,20.23,0,0,3,approved,DB00898,,,,,,,,,
Methanol,CO,887,ALCOHOL,methanol,67-56-1,"54841-71-3,67-56-1",-3.0,"McAuliffe, D.J. and Blank, H.I. (1991): Effects of UVA (320‐400 nm) on the barrier characteristics of the skin. J. Invest. Dermatol., 96, 758‐762",32.0418,-0.3558,-0.177,1,1,20.23,0,0,2,,,,,,,,,,,
Isopropyl alcohol,CC(C)O,3776,ALCOHOL,propan-2-ol,67-63-0,"8013-70-5,67-63-0,5131-95-3",,"Ibrahim, S. A., & Li, S. K. (2010). Efficiency of fatty acids as chemical penetration enhancers: mechanisms and structure enhancement relationship. Pharmaceutical research, 27(1), 115.",60.0955,0.4098,-0.855,1,1,20.23,0,0,4,approved; investigational,DB02325,,,,,,,,,
Propanol,CCCO,1031,ALCOHOL,propan-1-ol,71-23-8,"71-23-8,62309-51-7",-2.79,"I.H. Blank, Penetration of low molecular weight alcohols into skin. 1. The effect of concentration of alcohol and type of vehicle, J. Invest. Dermatol. 43 (1964) 415‐420",60.0955,0.5049,-0.747,1,1,20.23,1,0,4,approved; experimental,DB03175,,,,,,,,,
n‐butanol,CCCCO,263,ALCOHOL,butan-1-ol,71-36-3,"107569-51-7,14254-05-8,42031-19-6,220713-25-7,35296-72-1,71-36-3",-2.47,"I. H. Blank, R. J. Scheuplein, and D. J. MacFarlane, ""Mechanism of Percutaneous Absorption. 111. The Effect of Temperature on the Transport of Non‐Electrolytes Across the Skin,"" J. Invest. Dermatol. 49,582‐589 (1967)",74.1224,0.9593,-1.0170000000000001,1,1,20.23,2,0,5,experimental,DB02145,,,,,,,,,
Pentanol,CCCCCO,6276,ALCOHOL,pentan-1-ol,71-41-0,71-41-0,-1.98,"Scheuplein, R.J. (1965): Mechanism of   percutaneous adsorption. I. Routes of penetration and the influence of solubility. J. Invest. Dermatol., 45, 334‐346.",88.1493,1.4137,-1.287,1,1,20.23,3,0,6,,,,,,,,,,,
cis-3-Penten-1-ol,CC=CCCO,5364628,ALCOHOL,pent-3-en-1-ol,764-38-5,NA,,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",86.1334,1.1615,-1.0590000000000002,1,1,20.23,2,0,4,,,,,,,,,,,
"2-Heptyl-2-methyl-1,3-dioxolane (Azone_analog-298)",CCCCCCCC1(C)OCCO1,10943191,ALIPH. MISC.,"2-heptyl-2-methyl-1,3-dioxolane",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",186.294,3.199,-2.56,2,0,18.46,6,0,13,,,,,,,,,,Dioxolane,C1COCO1
"2,4-Dimethyl-2-nonyl-1,3-dioxolane (Azone_analog-302)",CCCCCCCCCC1(C)OCC(C)O1,91522586,ALIPH. MISC.,"2,4-dimethyl-2-nonyl-1,3-dioxolane",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",228.37400000000002,4.4325,-3.478,2,0,18.46,8,0,16,,,,,,,,,,Dioxolane,C1COCO1
"2-Methyl-2-undecyl-1,3-dioxolane (Azone_analog-300)",CCCCCCCCCCCC1(C)OCCO1,86181843,ALIPH. MISC.,"2-methyl-2-undecyl-1,3-dioxolane",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",242.40099999999998,5.0166,-3.64,2,0,18.46,10,0,17,,,,,,,,,,Dioxolane,C1COCO1
alpha-cyclodextrin,C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(O2)C(C7O)O)CO)CO)CO)CO)CO)O)O)O,444913,ALIPH. MISC.,"5,10,15,20,25,30-hexakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29-dodecaoxaheptacyclo[26.2.2.2³,⁶.2⁸,¹¹.2¹³,¹⁶.2¹⁸,²¹.2²³,²⁶]dotetracontane-31,32,33,34,35,36,37,38,39,40,41,42-dodecol",10016-20-3,10016-20-3,,"Ghafourian, T., Nokhodchi, A., & Kaialy, W. (2015). Surfactants as penetration enhancers for dermal and transdermal drug delivery. In Percutaneous penetration enhancers chemical methods in penetration enhancement (pp. 207-230). Springer, Berlin, Heidelberg.",972.842,-11.023,1.27,30,18,474.9,6,0,66,experimental,DB01909,,,,,,,,,C1CC2OCC1OC1CCC(CO1)OC1CCC(CO1)OC1CCC(CO1)OC1CCC(CO1)OC1CCC(CO1)O2
Chloroacetonitrile,C(C#N)Cl,7856,ALIPH. MISC.,2-chloroacetonitrile,107-14-2,"107-14-2,1867-10-3",-1.0,"Trabaris M, Laskin JD, Weisel CP. Percutaneous absorption of haloacetonitriles and chloral hydrate and simulated human exposures. J Appl Toxicol. 2012;32(6):387‐394.",75.4979,0.4521,-1.5330000000000001,1,0,23.79,0,0,1,,,,,,,,,,,
Glyphosate,C(C(=O)O)NCP(=O)(O)O,3496,ALIPH. MISC.,2-[(phosphonomethyl)amino]acetic acid,1071-83-6,"40465-66-5,1071-83-6",-3.33,"R.C. Wester, D. Quan, H.I. Maibach, In vitro percutaneous absorption of model compounds glyphosate and malathion from cotton fabric into and through human skin, Food Chem. Toxicol. 34 (1996) 731‐735",169.07299999999998,-6.2784,0.34299999999999997,6,4,116.67,4,0,7,,,,,,,,basic nitrogen,acidic oxygen,,
Alaptide,CC1C(=O)NC2(CCCC2)C(=O)N1,119329,ALIPH. MISC.,"8-methyl-6,9-diazaspiro[4.5]decane-7,10-dione",107447-22-3,NA,,"Jampílek, J., & Dohnal, J. (2015). Alaptide as transdermal permeation modifier. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 115-132). Springer, Berlin, Heidelberg.",182.222,-0.3572,-1.555,4,2,58.2,0,0,7,,,amide,,,,,,,Cyclo(glycine-(1-amino-1-cyclopentane)carbonyl),O=C1CNC(=O)C2(CCCC2)N1
N‐ Nitrosodiethanolamine,C(CO)N(CCO)N=O,14223,ALIPH. MISC.,2-[(2-hydroxyethyl)(nitroso)amino]ethan-1-ol,1116-54-7,1116-54-7,-5.26,"R.L. Bronaugh, E.R. Congdon, R.J. Scheuplein, The effect of cosmetic vehicles on the penetration of N‐nitrosodiethanolamine through excised human skin, J. Invest. Dermatol. 76 (1981) 94‐96",134.134,-1.1784,0.612,5,2,73.13,4,0,6,,,,,,,,,,,
Ethyl acetate,CCOC(=O)C,8857,ALIPH. MISC.,ethyl acetate,141-78-6,141-78-6,,"Dragicevic, N., Atkinson, J. P., & Maibach, H. I. (2015). Chemical penetration enhancers: classification and mode of action. In Percutaneous penetration enhancers chemical methods in penetration enhancement (pp. 11-27). Springer, Berlin, Heidelberg.",88.1055,0.5351,-0.887,2,0,26.3,2,0,4,,,,,,,,,,,
"2-(1-Butyl)-2-methyl-1,3 dioxolane",CCCCC1(OCCO1)C,560042,ALIPH. MISC.,"2-butyl-2-methyl-1,3-dioxolane",14447-27-9,NA,,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",144.213,1.8358,-1.75,2,0,18.46,3,0,10,,,,,,,,,,Dioxolane,C1COCO1
"2-Heptyl-2,4-dimethyl-1,3-dioxolane (Azone_analog-301)",CCCCCCCC1(C)OCC(C)O1,246089,ALIPH. MISC.,"2-heptyl-2,4-dimethyl-1,3-dioxolane",165191-91-3,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",200.321,3.5237,-2.938,2,0,18.46,6,0,14,,,,,,,,,,Dioxolane,C1COCO1
Cyclohexene oxide,C1CCC2C(C1)O2,9246,ALIPH. MISC.,7-oxabicyclo[4.1.0]heptane,286-20-4,"26637-95-6,286-20-4,28165-18-6,137422-07-2",,"Kanikkannan, N., & Babu, R. J. (2015). Structure-activity relationship of chemical penetration enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 39-54). Springer, Berlin, Heidelberg.",98.1444,0.9022,-1.8330000000000002,1,0,12.53,0,0,7,,,,,,,,,,,C1CCC2OC2C1
